character,universe,page_length
Roscoe Hynes,Prime Earth,363451
Sam Zhao,Earth 2,373943
Samuel Song,Prime Earth,358944
Samurai II,New Earth,350221
Sarah Rainmaker,Wildstorm Universe,371136
Shifu Pigsy,Prime Earth,353083
Siracca,Prime Earth,361948
Strato,Prime Earth,356325
Superman,Clark Kent,575295
Tai'Darshan,New Earth,351936
Tempest,DC One Million,369320
Tempest Drake,Smallville,355297
Terra Mark V,Mash-Up,357959
Tornado Champion,The Brave and the Bold,355354
Toshio Eto,New Earth,355362
Toshio Eto,Super Friends,357150
Trigon,DC Animated Movie Universe,370821
Tsuki-yomi,New Earth,356648
Ulthoon,New Earth,349678
Valerie Kameya,Dakotaverse,364543
Violet of the Rainbow Raiders,New Earth,353674
Wally West,Earth-16,384925
Wally West,New Earth,548266
Wendy Hernandez,Black Lightning TV Series,355438
Wendy Jones,Earth-16,350380
Wendy Jones,New Earth,377883
Wendy Jones,Thunder & Lightning Shorts,354350
William Roberts,New Earth,354803
Wind Dragon,DCAU,354102
Windshear,Dakotaverse,368192
Zari Tarazi,Arrowverse,367749
Zatanna Zatara,New Earth,471635
Abnegazar,Justice League Action,356056
Abnegazar,Scooby-Doo Team-Up,352498
Abysmus,Prime Earth,355902
Abyssma,New Earth,352523
Acarinus,New Earth,352096
"Adam, Sector 1055",New Earth,358981
Adjudicator,Earth-One,365064
Akka,Pre-Zero Hour,353359
Alastor Faud,Pre-Zero Hour,382121
Alia,New Earth,359206
Sinestro,The Brave and the Bold,357173
Almeracians,Almeracian,351031
Alpheus,Sixth Dimension,375670
Amalak,New Earth,356511
Amanita,New Earth,363767
Amon Hakk,New Earth,359783
Angels,Angel,368453
Anointed One,New Earth,350105
Apex Predators,Apex Predator,376189
Apros,New Earth,366332
AR-N-O-Q,New Earth,361739
Arak,Prime Earth,382679
Archon Z'gmora,New Earth,358499
Ares,DCAU,359982
Argent,Prime Earth,357415
Ariella Kent,New Earth,391013
Arisia Rrab,New Earth,374445
Arkillo,DC Universe Online,360213
Arkillo,Lego Batman,370846
Arkillo,New Earth,368517
Arkillo,Prime Earth,364734
Arn Digby,Pre-Zero Hour,348950
Arnus II,Dakotaverse,374352
Artredis Qon,Prime Earth,356068
Ash'Ka'Phageous,Ash'Ka'Phageou,392725
Astrild Storm-Daughter,New Earth,367290
Atrocitus,Lego Batman,369507
Atrocitus,New Earth,387198
Atros,DC Legends,366946
Atros,Prime Earth,389587
Auctioneer,New Earth,352998
Augustus Freeman,Earth-16,361461
Augustus Freeman,Prime Earth,351900
Ayla Ranzz,SW6,380945
Azrael,New Earth,363288
B'dg,New Earth,363737
B'dg,Prime Earth,359103
B'dg,Tiny Titans,363219
Babe,Atari Force,355056
Badra,Earth-Two,356600
Baern,Smallville,354219
Barbatos,Dark Multiverse,391382
Barda Free,Gotham City Garage,375238
Bat-Mite,The Brave and the Bold,361496
Belzebeth,Prime Earth,358390
Bertron Diib,New Earth,357278
Bette Noir,New Earth,358841
Big Barda,DC Legends,356810
Billy the Girl,New Earth,360975
Bizarro,DC Legends,359555
Bizarro Krypto,DCAU,356530
Black Beetle,Earth-16,364136
Blackfang,New Earth,351713
Blok,DCAU,350590
Blok,Legion of Super-Heroes TV Series,374700
Blok,Post-Rebirth,359547
Blok,Pre-Zero Hour,385026
Bloodlines Parasites,Bloodlines Parasite,353283
Bolphunga,Emerald Knights,355134
Bolphunga,New Earth,365173
Bolphunga,Prime Earth,362729
Brainiac,Earth-30,354688
Brainiac,Krypton TV Series,379558
Brainiac,Man of Tomorrow,360479
Brainiac's Daughter,Earth-22,383128
Brek Bannin,Legion of Super-Heroes TV Series,353342
Brek Bannin,Post-Zero Hour,379049
Brek Bannin,Pre-Zero Hour,389842
Brik,New Earth,361588
Bro'Dee Walker,New Earth,374262
Bro'Dee Walker,Prime Earth,357967
Brunt,New Earth,352148
Brutus,Prime Earth,353848
Bull Dog,Earth-One,348506
Bzzd,New Earth,374131
Caellich,New Earth,357105
Caliban,Prime Earth,355976
Calleen,Prime Earth,362439
Calythos,Justice League Action,362080
Cathexis,Cathexi,349733
Celerita,Earth-Two,355071
